Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1959,2417,1350,793,207,40,25,2,1
1960,2562,1406,853,228,43,24,8,1
1961,2570,1349,904,241,45,24,8,1
1962,2661,1345,972,264,48,23,8,1
1963,2803,1394,1039,286,51,25,9,1
1964,2955,1423,1121,315,56,31,10,1
1965,3089,1445,1204,336,59,36,9,1
1966,3238,1460,1300,366,64,39,10,1
1967,3341,1437,1386,391,65,52,10,1
1968,3523,1453,1509,426,70,56,11,1
1969,3757,1507,1632,466,74,67,11,1
1970,4066,1555,1856,489,79,76,12,1
1971,4230,1556,1966,528,81,88,12,1
1972,4427,1554,2119,560,86,95,13,1
1973,4661,1598,2266,582,91,110,14,1
1974,4642,1601,2234,595,91,107,14,1
1975,4652,1640,2215,602,91,92,13,1
1976,4908,1717,2334,640,95,108,14,1
1977,5048,1755,2423,653,99,104,14,1
1978,5204,1801,2497,681,106,106,14,1
1979,5352,1871,2539,722,107,98,14,1
1980,5320,1925,2445,742,108,86,13,1
1981,5193,1921,2333,754,108,65,13,1
1982,5152,1954,2276,737,107,64,12,1
1983,5185,2008,2250,746,110,58,13,1
1984,5365,2103,2274,811,112,51,14,1
1985,5545,2251,2274,842,114,50,15,1
1986,5628,2278,2343,825,119,46,16,1
1987,5804,2357,2365,893,124,45,20,1
1988,6032,2438,2451,938,131,51,24,1
1989,6115,2444,2494,978,134,41,24,1
1990,6209,2378,2516,1048,136,69,61,1
1991,6342,2356,2645,1070,140,73,59,1
1992,6160,2301,2507,1082,146,65,59,1
1993,6224,2328,2511,1111,152,64,59,1
1994,6268,2341,2520,1121,162,65,59,1
1995,6401,2408,2547,1150,171,64,61,1
1996,6593,2470,2622,1201,174,65,60,1
1997,6632,2456,2664,1206,180,66,61,1
1998,6607,2391,2688,1225,179,63,60,1
1999,6692,2373,2750,1262,187,61,59,1
2000,6887,2460,2807,1292,196,74,59,1
2001,6946,2473,2831,1305,204,74,58,1
2002,7107,2581,2830,1344,215,78,59,1
2003,7469,2798,2910,1391,231,79,60,1
2004,7813,2974,3006,1438,248,85,63,1
2005,8079,3158,3031,1472,262,91,66,1
2006,8347,3336,3059,1506,286,91,69,1
2007,8595,3497,3069,1557,306,95,71,1
2008,8753,3612,3057,1603,311,99,71,1
2009,8626,3566,3002,1572,319,100,66,1
2010,9100,3813,3086,1694,341,100,67,1
2011,9407,4034,3094,1741,367,97,75,1
2012,9545,4080,3138,1776,376,99,75,1
2013,9630,4106,3162,1788,393,101,80,1
2014,9698,4111,3175,1818,408,104,83,1
2015,9688,4017,3243,1852,392,102,82,1
2016,9676,3919,3264,1902,404,106,82,1
2017,9805,3945,3311,1942,410,115,82,1
2018,10002,4017,3327,2035,428,113,82,1
2019,10017,3977,3338,2062,439,119,83,1
2020,9500,3814,3022,2020,444,119,81,1
